"team","experience","salary","points3","points2","points1","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency"
"ATL",100,93.41,660,2337,1453,8107,832,832,1846,645,381,1201,1432,147.21
"BOS",63,91.92,985,2183,1536,8857,744,744,2069,617,340,1037,1686,148.24
"BRK",70,76.22,777,2040,1444,7855,689,689,1664,568,382,1212,1620,167.03
"CHI",59,92.5,565,2162,1330,7349,865,865,1746,605,339,956,1275,139.1
"CHO",63,88.5,808,2089,1497,8099,621,621,1806,543,316,820,1177,141.5
"CLE",145,127.25,1030,2148,1384,8770,735,735,1779,483,304,1020,1356,182.08
"DAL",65,92.83,712,1754,1007,6651,521,521,1183,507,257,674,1229,144.63
"DEN",83,79.03,868,2351,1477,8783,872,872,2015,543,286,1102,1475,172.24
"DET",55,103.07,631,2638,1140,8309,908,908,1732,574,310,932,1467,136.41
"GSW",113,100.24,982,2545,1455,9491,770,770,2486,782,554,1179,1581,175.34
"HOU",70,87.39,1140,2011,1623,9065,857,857,1969,617,331,1113,1473,165.28
"IND",95,92.62,709,2512,1467,8618,742,742,1844,669,409,1087,1597,148.71
"LAC",124,114.78,841,2401,1586,8911,738,738,1848,612,347,1022,1626,147.07
"LAL",65,85.13,582,2069,1021,6905,789,789,1334,510,267,972,1444,131.46
"MEM",90,108.95,757,2176,1489,8112,880,880,1725,629,335,993,1798,147.55
"MIA",63,72.94,799,2349,1217,8312,856,856,1728,579,464,1019,1647,152.19
"MIL",83,104.65,720,2462,1413,8497,723,723,1984,666,436,1096,1660,161.25
"MIN",48,59.88,599,2607,1580,8591,932,932,1924,641,368,1085,1620,140.78
"NOP",78,94.04,519,1956,1128,6597,580,580,1531,502,380,828,1168,175.17
"NYK",59,97.11,636,2445,1262,8060,962,962,1499,526,451,975,1584,143.92
"OKC",55,86.98,611,2380,1511,8104,936,936,1610,595,395,1133,1561,146.92
"ORL",62,104.11,618,2178,1232,7442,707,707,1760,546,305,987,1445,133.14
"PHI",39,56.29,718,1960,1225,7299,690,690,1816,613,375,1197,1573,172.95
"PHO",73,73.28,569,2554,1615,8430,882,882,1531,588,385,1171,1887,149.23
"POR",43,102.49,847,2148,1386,8223,706,706,1508,522,342,978,1581,141.8
"SAC",77,88.28,562,1838,998,6360,525,525,1402,506,232,850,1303,155.82
"SAS",99,105.4,753,2469,1440,8637,821,821,1954,655,484,1057,1498,149.7
"TOR",57,108.46,626,2359,1570,8166,847,847,1469,620,379,932,1609,158.76
"UTA",71,80.32,791,2242,1401,8258,771,771,1651,550,410,1060,1545,145.81
"WAS",57,100.79,718,2526,1368,8574,806,806,1893,655,325,1062,1643,147.81
